vds;ids;eon;eoff;vdsreal;idsreal;rdson
-200;-0,1;1,19576e-12;6,74806e-16;0,00034191;0,0999998;0,00341911
-200;-0,125893;1,89572e-12;1,06521e-15;0,000430551;0,125892;0,00342
-200;-0,158489;3,00524e-12;1,68806e-15;0,000542147;0,158489;0,00342073
-200;-0,199526;4,76395e-12;2,67822e-15;0,000682643;0,199526;0,00342133
-200;-0,251189;7,55161e-12;4,24976e-15;0,000859525;0,251188;0,00342184
-200;-0,316228;1,19702e-11;6,75151e-15;0,00108222;0,316226;0,00342229
-200;-0,398107;1,89739e-11;1,06942e-14;0,00136259;0,398104;0,0034227
-200;-0,501187;3,00751e-11;1,6952e-14;0,0017156;0,501183;0,0034231
-200;-0,630957;4,76711e-11;2,68861e-14;0,00216005;0,630951;0,00342349
-200;-0,794328;7,55621e-11;4,2697e-14;0,00271967;0,794317;0,00342391
-200;-1;1,19773e-10;6,7738e-14;0,00342432;0,999983;0,00342438
-200;-1,25893;1,89853e-10;1,07487e-13;0,00431162;1,2589;0,00342491
-200;-1,58489;3,00944e-10;1,7139e-13;0,00542899;1,58485;0,00342555
-200;-1,99526;4,7698e-10;2,72249e-13;0,00683618;1,99519;0,00342632
-200;-2,51189;7,56458e-10;4,32635e-13;0,00860855;2,51178;0,00342727
-200;-3,16228;1,19924e-09;6,88004e-13;0,0108411;3,16211;0,00342845
-200;-3,98107;1,90134e-09;1,09508e-12;0,0136538;3,9808;0,00342992
-200;-5,01187;3,01475e-09;1,74512e-12;0,017198;5,01144;0,00343176
-200;-6,30957;4,78068e-09;2,78471e-12;0,0216652;6,30889;0,00343407
-200;-7,94328;7,58212e-09;1,84793e-14;0,0272972;7,9422;0,00343698
-200;-10;1,20273e-08;2,97727e-14;0,0344007;9,99828;0,00344067
-200;-12,5893;1,90831e-08;4,62564e-14;0,0433646;12,5865;0,00344532
-200;-15,8489;3,02871e-08;7,49759e-14;0,0546833;15,8446;0,00345122
-200;-19,9526;4,80875e-08;1,18204e-13;0,0689867;19,9457;0,00345872
-200;-25,1189;7,63888e-08;1,89256e-13;0,087081;25,1079;0,00346827
-200;-31,6228;1,21429e-07;3,06496e-13;0,110001;31,6054;0,00348046
-200;-39,8107;1,93192e-07;4,96543e-13;0,139085;39,783;0,00349609
-200;-50,1187;3,07718e-07;7,65802e-13;0,176074;50,0746;0,00351623
-200;-63,0957;4,90899e-07;4,42321e-14;0,223256;63,0253;0,00354232
-200;-79,4328;7,8359e-07;6,86752e-14;0,283677;79,3202;0,00357636
-200;-100;1,24851e-06;3,237e-13;0,361464;99,8193;0,00362119
-200;-125,893;1,9892e-06;8,90873e-13;0,462305;125,602;0,00368073
-200;-158,489;3,17916e-06;2,24848e-08;0,594278;158,018;0,00376081
-200;-199,526;5,07211e-06;1,61435e-11;0,76896;198,759;0,00386881
-200;-251,189;9,99858e-06;1,81516e-10;1,0027;249,929;0,00401192
-200;-260;1,0707e-05;2,19174e-10;1,04417;258,643;0,00403712
-190,546;-0,1;1,19576e-12;6,74806e-16;0,00034191;0,0999998;0,00341911
-190,546;-0,125893;1,89572e-12;1,0652e-15;0,000430551;0,125892;0,00342
-190,546;-0,158489;3,00524e-12;1,68806e-15;0,000542147;0,158489;0,00342073
-190,546;-0,199526;4,76394e-12;2,67822e-15;0,000682643;0,199526;0,00342133
-190,546;-0,251189;7,55161e-12;4,24976e-15;0,000859525;0,251188;0,00342184
-190,546;-0,316228;1,19702e-11;6,7515e-15;0,00108222;0,316226;0,00342229
-190,546;-0,398107;1,89739e-11;1,06955e-14;0,00136259;0,398104;0,0034227
-190,546;-0,501187;3,0075e-11;1,6952e-14;0,0017156;0,501183;0,0034231
-190,546;-0,630957;4,7671e-11;2,68896e-14;0,00216005;0,63095;0,00342349
-190,546;-0,794328;7,5562e-11;4,26904e-14;0,00271967;0,794317;0,00342391
-190,546;-1;1,19772e-10;6,7738e-14;0,00342432;0,999982;0,00342438
-190,546;-1,25893;1,89852e-10;1,07485e-13;0,00431161;1,2589;0,00342491
-190,546;-1,58489;3,00943e-10;1,71417e-13;0,00542898;1,58485;0,00342555
-190,546;-1,99526;4,76978e-10;2,72249e-13;0,00683617;1,99519;0,00342632
-190,546;-2,51189;7,56454e-10;4,3268e-13;0,00860853;2,51177;0,00342727
-190,546;-3,16228;1,19924e-09;6,88004e-13;0,0108411;3,1621;0,00342845
-190,546;-3,98107;1,90133e-09;1,09507e-12;0,0136538;3,98079;0,00342992
-190,546;-5,01187;3,01472e-09;1,74491e-12;0,017198;5,01142;0,00343176
-190,546;-6,30957;4,78063e-09;2,78471e-12;0,021665;6,30886;0,00343407
-190,546;-7,94328;7,58202e-09;1,86657e-14;0,027297;7,94214;0,00343698
-190,546;-10;1,20271e-08;2,91178e-14;0,0344004;9,9982;0,00344067
-190,546;-12,5893;1,90827e-08;4,79482e-14;0,0433642;12,5864;0,00344532
-190,546;-15,8489;3,02863e-08;7,57893e-14;0,0546825;15,8444;0,00345122
-190,546;-19,9526;4,80858e-08;1,18887e-13;0,0689855;19,9454;0,00345872
-190,546;-25,1189;7,63855e-08;1,89601e-13;0,0870791;25,1074;0,00346827
-190,546;-31,6228;1,21422e-07;3,06509e-13;0,109998;31,6045;0,00348046
-190,546;-39,8107;1,93178e-07;4,86802e-13;0,13908;39,7817;0,00349609
-190,546;-50,1187;3,07691e-07;7,92953e-13;0,176066;50,0724;0,00351623
-190,546;-63,0957;4,90844e-07;9,8334e-14;0,223243;63,0218;0,00354231
-190,546;-79,4328;7,83478e-07;6,86129e-14;0,283656;79,3146;0,00357634
-190,546;-100;1,24828e-06;2,09819e-13;0,36143;99,8103;0,00362117
-190,546;-125,893;1,98874e-06;8,90168e-13;0,462247;125,587;0,00368069
-190,546;-158,489;3,17822e-06;2,2557e-08;0,594181;157,995;0,00376075
-190,546;-199,526;5,07049e-06;1,57689e-11;0,768794;198,721;0,0038687
-190,546;-251,189;9,99393e-06;1,81419e-10;1,0024;249,867;0,00401174
-190,546;-260;1,07018e-05;2,18183e-10;1,04385;258,576;0,00403693
-173,78;-0,1;1,19575e-12;6,7491e-16;0,00034191;0,0999998;0,00341911
-173,78;-0,125893;1,89572e-12;1,0652e-15;0,000430551;0,125892;0,00342
-173,78;-0,158489;3,00524e-12;1,68823e-15;0,000542147;0,158489;0,00342073
-173,78;-0,199526;4,76394e-12;2,67824e-15;0,000682643;0,199525;0,00342133
-173,78;-0,251189;7,5516e-12;4,24976e-15;0,000859524;0,251187;0,00342184
-173,78;-0,316228;1,19702e-11;6,7515e-15;0,00108222;0,316226;0,00342229
-173,78;-0,398107;1,89738e-11;1,06941e-14;0,00136259;0,398104;0,0034227
-173,78;-0,501187;3,0075e-11;1,6952e-14;0,0017156;0,501182;0,0034231
-173,78;-0,630957;4,76709e-11;2,68881e-14;0,00216005;0,630949;0,00342349
-173,78;-0,794328;7,55618e-11;4,26904e-14;0,00271967;0,794316;0,00342391
-173,78;-1;1,19772e-10;6,7738e-14;0,00342431;0,99998;0,00342438
-173,78;-1,25893;1,89851e-10;1,07485e-13;0,0043116;1,25889;0,00342491
-173,78;-1,58489;3,00941e-10;1,71417e-13;0,00542896;1,58484;0,00342555
-173,78;-1,99526;4,76975e-10;2,72249e-13;0,00683615;1,99518;0,00342632
-173,78;-2,51189;7,56448e-10;4,32635e-13;0,00860849;2,51176;0,00342727
-173,78;-3,16228;1,19922e-09;6,88004e-13;0,010841;3,16208;0,00342845
-173,78;-3,98107;1,9013e-09;1,09508e-12;0,0136537;3,98076;0,00342992
-173,78;-5,01187;3,01467e-09;1,74508e-12;0,0171978;5,01138;0,00343176
-173,78;-6,30957;4,78052e-09;2,78429e-12;0,0216648;6,30879;0,00343407
-173,78;-7,94328;7,58181e-09;1,85224e-14;0,0272966;7,94203;0,00343698
-173,78;-10;1,20267e-08;2,97736e-14;0,0343998;9,99802;0,00344066
-173,78;-12,5893;1,90819e-08;4,79493e-14;0,0433632;12,5861;0,00344532
-173,78;-15,8489;3,02846e-08;7,49796e-14;0,054681;15,8439;0,00345122
-173,78;-19,9526;4,80824e-08;1,18211e-13;0,0689831;19,9447;0,00345872
-173,78;-25,1189;7,63787e-08;1,89273e-13;0,0870752;25,1063;0,00346826
-173,78;-31,6228;1,21409e-07;3,06535e-13;0,109992;31,6028;0,00348045
-173,78;-39,8107;1,93151e-07;4,82427e-13;0,13907;39,7789;0,00349609
-173,78;-50,1187;3,07635e-07;7,66047e-13;0,17605;50,0679;0,00351622
-173,78;-63,0957;4,90731e-07;4,41004e-14;0,223217;63,0147;0,00354229
-173,78;-79,4328;7,83248e-07;6,84857e-14;0,283613;79,3032;0,00357632
-173,78;-100;1,24783e-06;2,14571e-13;0,36136;99,7921;0,00362113
-173,78;-125,893;1,98781e-06;8,22747e-13;0,462131;125,558;0,00368062
-173,78;-158,489;3,17629e-06;2,27042e-08;0,593983;157,948;0,00376063
-173,78;-199,526;5,06719e-06;1,59599e-11;0,768453;198,644;0,0038685
-173,78;-251,189;9,98444e-06;1,80387e-10;1,0018;249,741;0,00401138
-173,78;-260;1,06912e-05;2,17132e-10;1,0432;258,439;0,00403654
-158,489;-0,1;1,19575e-12;6,74806e-16;0,00034191;0,0999998;0,00341911
-158,489;-0,125893;1,89571e-12;1,06539e-15;0,000430551;0,125892;0,00342
-158,489;-0,158489;3,00524e-12;1,68822e-15;0,000542147;0,158489;0,00342073
-158,489;-0,199526;4,76394e-12;2,67822e-15;0,000682642;0,199525;0,00342133
-158,489;-0,251189;7,55159e-12;4,24976e-15;0,000859524;0,251187;0,00342184
-158,489;-0,316228;1,19702e-11;6,75151e-15;0,00108222;0,316226;0,00342229
-158,489;-0,398107;1,89738e-11;1,06942e-14;0,00136259;0,398104;0,0034227
-158,489;-0,501187;3,00749e-11;1,69499e-14;0,00171559;0,501182;0,0034231
-158,489;-0,630957;4,76708e-11;2,68881e-14;0,00216005;0,630949;0,00342349
-158,489;-0,794328;7,55616e-11;4,2697e-14;0,00271966;0,794315;0,00342391
